Student #, Weighted Score, Disability, Race, FRL, Gender
Student 1: 68.53   No, White, Yes, Male, 
Student 2: 97.81   No, White, No, Male, 
Student 3: 59.96   No, Black, Yes, Female, 
Student 4: 59.17   No, Black, Yes, Female, 
Student 5: 53.4   No, White, Yes, Male, 
Student 6: 57.6   No, White, Yes, Female, 
Student 7: 76.92   No, Asian, No, Female, 
Student 8: 95.1   No, White, No, Male, 
Student 9: 54.54   No, Black, Yes, Male, 
Student 10: 99.3   No, White, No, Male, 
Student 11: 86.53   No, White, Yes, Female, 
Student 12: 60.57   No, White, Yes, Male, 
Student 13: 68.88   No, White, No, Female, 
Student 14: 60.57   No, White, No, Male, 
Student 15: 52.27   No, Black, Yes, Female, 
Student 16: 65.03   No, Black, Yes, Female, 
Student 17: 59.26   No, White, No, Female, 
Student 18: 80.24   No, White, Yes, Male, 
Student 19: 79.72   No, White, Yes, Male, 
Student 20: 60.31   No, White, No, Female, 
Student 21: 54.72   No, White, Yes, Male, 
Student 22: 53.84   Yes, White, Yes, Female, 
Student 23: 24.12   No, White, Yes, Female, 
Student 24: 74.47   No, Other, Yes, Female, 
Student 25: 58.91   No, White, No, Male, 
Student 26: 80.76   No, Hispanic, Yes, Male, 
Student 27: 68.53   Yes, White, No, Male, 
Student 28: 31.64   No, Black, Yes, Female, 
Student 29: 66.6   No, White, No, Male, 
Student 30: 85.83   No, White, Yes, Female, 
Student 31: 51.57   Yes, Hispanic, Yes, Female, 
Student 32: 8.04   Yes, Black, Yes, Female, 
Student 33: 57.77   No, Black, Yes, Male, 
Student 34: 85.31   No, Black, Yes, Female, 
Student 35: 83.56   No, Other, No, Female, 
Student 36: 90.03   No, White, No, Female, 
Student 37: 79.37   No, White, Yes, Male, 
Student 38: 35.83   Yes, Asian, Yes, Male, 
Student 39: 60.13   Yes, White, No, Female, 
Student 40: 86.71   No, White, Yes, Male, 
Student 41: 43   Yes, White, Yes, Male, 
Student 42: 65.38   No, Hispanic, Yes, Female, 
Student 43: 39.94   Yes, Black, Yes, Female, 
Student 44: 73.86   No, White, No, Female, 
Student 45: 67.83   No, Other, Yes, Male, 
Student 46: 53.4   No, Black, Yes, Female, 
Student 93: 86.72   No, White, Yes, Male, 
Student 94: 72.9   No, White, No, Female, 
Student 95: 64.36   No, Other, Yes, Male, 
Student 96: 72.54   No, Black, Yes, Male, 
Student 97: 54.18   No, White, No, Male, 
Student 98: 68.54   No, White, No, Female, 
Student 99: 52   No, Black, Yes, Female, 
Student 100: 60.72   No, White, Yes, Female, 
Student 101: 60.36   No, White, Yes, Male, 
Student 102: 68.36   No, White, No, Female, 
Student 103: 29.27   No, White, Yes, Female, 
Student 104: 62.54   No, White, No, Male, 
Student 105: 64.36   No, White, Yes, Female, 
Student 106: 72.72   No, White, No, Male, 
Student 107: 74.36   No, White, No, Female, 
Student 108: 43.56   No, Black, Yes, Female, 
Student 109: 53.83   No, White, Yes, Female, 
Student 110: 32.17   No, Hispanic, Yes, Female, 
Student 111: 81.8   No, White, Yes, Female, 
Student 112: 60.76   No, Black, Yes, Male, 
Student 113: 44.18   No, White, Yes, Female, 
Student 114: 90.47   No, Hispanic, Yes, Female, 
Student 115: 53.34   No, Black, Yes, Male, 
Student 116: 72.64   No, White, No, Female, 
Student 117: 60.39   No, Black, Yes, Male, 
Student 118: 65.96   No, Hispanic, No, Male, 
Student 119: 51.6   No, Black, No, Male, 
Student 120: 70.66   No, White, Yes, Female, 
Student 121: 47.02   No, White, Yes, Male, 
Student 122: 45.66   No, Hispanic, Yes, Female, 
Student 123: 65.47   No, Hispanic, Yes, Male, 
Student 124: 59.52   No, White, Yes, Male, 
Student 125: 42.32   No, Black, Yes, Female, 
Student 126: 60.14   No, Other, No, Female, 
Student 127: 83.91   No, White, Yes, Female, 
Student 128: 44.73   No, White, Yes, Female, 
Student 129: 46.65   No, White, Yes, Female, 
Student 130: 40.47   No, White, No, Female, 
Student 131: 53.83   No, Black, Yes, Female, 
Student 132: 76.63   No, Black, Yes, Female, 
Student 133: 58.78   No, Black, Yes, Male, 
Student 134: 65.96   No, White, No, Female, 
Student 135: 64.1   No, White, No, Female, 
Student 136: 82.79   Yes, White, No, Male, 
Student 137: 49.25   No, White, No, Female, 
Student 138: 50   No, White, Yes, Male, 
Student 139: 64.97   No, Black, No, Male, 
Student 140: 62.87   Yes, White, No, Female, 
Student 141: 59.03   No, White, Yes, Female, 
Student 142: 71.03   No, White, No, Female, 
Student 143: 80.94   No, White, No, Female, 
Student 144: 62.37   No, Asian, Yes, Female, 
Student 145: 59.15   No, White, Yes, Female, 
Student 146: 75.37   No, White, No, Female, 
Student 147: 36.38   No, White, Yes, Male, 
Student 148: 56.18   No, Hispanic, Yes, Female, 
Student 149: 36.26   No, White, Yes, Male, 
Student 150: 54.45   No, White, No, Male, 
Student 151: 72.71   No, Black, Yes, Female, 
Student 152: 82.54   No, White, No, Female, 
Student 153: 61.26   No, White, Yes, Female, 
Student 154: 84.15   No, White, Yes, Male, 
Student 155: 78.83   No, White, No, Male, 
Student 156: 41.83   No, Black, Yes, Male, 
Student 157: 62.87   No, Black, No, Male, 
Student 158: 93.68   No, White, No, Female, 
Student 159: 41.33   No, Hispanic, No, Female, 
Student 160: 60.39   No, White, No, Female, 
Student 161: 62.87   No, Other, Yes, Female, 
Student 162: 65.84   No, Hispanic, Yes, Female, 
Student 163: 58.66   No, Other, No, Female, 
Student 164: 63.98   No, White, No, Female, 
Student 165: 54.2   No, White, No, Male, 
Student 166: 86.13   No, Black, Yes, Female, 
Student 167: 59.15   No, Black, Yes, Female, 
Student 168: 64.72   No, Black, Yes, Female, 
Student 169: 53.46   No, Hispanic, Yes, Male, 
Student 170: 56.31   No, White, No, Male, 
Student 171: 67.66   No, Black, Yes, Male, 
Student 172: 82.42   No, Hispanic, Yes, Female, 
Student 173: 65.69   No, White, No, Female, 
Student 174: 38.05   No, Hispanic, No, Male, 
Student 175: 61.6   No, Other, No, Female, 
Student 176: 47.52   No, Hispanic, Yes, Male, 
Student 177: 68.77   No, White, Yes, Male, 
Student 178: 61.68   No, Other, No, Female, 
Student 179: 84.12   No, White, Yes, Female, 
Student 180: 45.9   No, White, No, Male, 
Student 181: 64.16   No, White, No, Female, 
