Student_#,Assessment_Only_Weighted_Score,Traditional_Weighted_Score,Disability,Race,FRL,Gender
1,68.53,70.445,No,White,Yes,Male
2,97.81,98.467,No,White,No,Male
3,59.96,69.145,No,Black,Yes,Female
4,59.17,64.913,No,Black,Yes,Female
5,53.4,61.743,No,White,Yes,Male
6,57.6,52.492,No,White,Yes,Female
7,76.92,75.881,No,Asian,No,Female
8,95.1,96.57,No,White,No,Male
9,54.54,48.084,No,Black,Yes,Male
10,99.3,99.451,No,White,No,Male
11,86.53,89.45,No,White,Yes,Female
12,60.57,68.176,No,White,Yes,Male
13,68.88,70.889,No,White,No,Female
14,60.57,71.191,No,White,No,Male
15,52.27,62.324,No,Black,Yes,Female
16,65.03,72.001,No,Black,Yes,Female
17,59.26,61.503,No,White,No,Female
18,80.24,85.193,No,White,Yes,Male
19,79.72,73.017,No,White,Yes,Male
20,60.31,66.877,No,White,No,Female
21,54.72,53.761,No,White,Yes,Male
22,53.84,57.717,Yes,White,Yes,Female
23,24.12,32.248,No,White,Yes,Female
24,74.47,81.721,No,Other,Yes,Female
25,58.91,57.591,No,White,No,Male
26,80.76,80.486,No,Hispanic,Yes,Male
27,68.53,67.719,Yes,White,No,Male
28,31.64,37.381,No,Black,Yes,Female
29,66.6,71.983,No,White,No,Male
30,85.83,80.249,No,White,Yes,Female
31,51.57,60.257,Yes,Hispanic,Yes,Female
32,8.04,10.691,Yes,Black,Yes,Female
33,57.77,63.03,No,Black,Yes,Male
34,85.31,86.01,No,Black,Yes,Female
35,83.56,87.128,No,Other,No,Female
36,90.03,92.681,No,White,No,Female
37,79.37,77.377,No,White,Yes,Male
38,35.83,38.769,Yes,Asian,Yes,Male
39,60.13,53.495,Yes,White,No,Female
40,86.71,88.385,No,White,Yes,Male
41,43,46.434,Yes,White,Yes,Male
42,65.38,57.45,No,Hispanic,Yes,Female
43,39.94,54.132,Yes,Black,Yes,Female
44,73.86,77.284,No,White,No,Female
45,67.83,65.141,No,Other,Yes,Male
46,53.4,62.065,No,Black,Yes,Female
93,86.72,90.017,No,White,Yes,Male
94,72.9,79.616,No,White,No,Female
95,64.36,65.301,No,Other,Yes,Male
96,72.54,77.226,No,Black,Yes,Male
97,54.18,57.407,No,White,No,Male
98,68.54,69.736,No,White,No,Female
99,52,65.232,No,Black,Yes,Female
100,60.72,52.259,No,White,Yes,Female
101,60.36,68.352,No,White,Yes,Male
102,68.36,77.666,No,White,No,Female
103,29.27,48.222,No,White,Yes,Female
104,62.54,69.056,No,White,No,Male
105,64.36,70.385,No,White,Yes,Female
106,72.72,75.139,No,White,No,Male
107,74.36,76.64,No,White,No,Female
108,43.56,51.295,No,Black,Yes,Female
109,53.83,65.702,No,White,Yes,Female
110,32.17,42.695,No,Hispanic,Yes,Female
111,81.8,86.979,No,White,Yes,Female
112,60.76,68.993,No,Black,Yes,Male
113,44.18,56.682,No,White,Yes,Female
114,90.47,88.904,No,Hispanic,Yes,Female
115,53.34,55.122,No,Black,Yes,Male
116,72.64,80.53,No,White,No,Female
117,60.39,62.175,No,Black,Yes,Male
118,65.96,59.756,No,Hispanic,No,Male
119,51.6,57.571,No,Black,No,Male
120,70.66,77.801,No,White,Yes,Female
121,47.02,62.834,No,White,Yes,Male
122,45.66,54.69,No,Hispanic,Yes,Female
123,65.47,75.708,No,Hispanic,Yes,Male
124,59.52,67.694,No,White,Yes,Male
125,42.32,56.806,No,Black,Yes,Female
