Trial 1,,,,,,,,,,
,Student #,Final Grade Using Different Testing Methods,,Demographic Information,,,,,,
,,Assessment-Only Method,Traditional Method,Disability,Race,FRL,Gender,,,
,540,75.08,81.38,No,White,Yes,Female,,,
,245,55.97,59.505,No,Black,Yes,Male,,,
,708,44.5,42.701,Yes,Black,Yes,Female,,,
,530,77.87,83.726,No,Hispanic,Yes,Male,,,
,586,85.37,89.759,No,White,Yes,Female,,,
,,,,,,,,,,
,,,,,,,,,,
Trial 2,,,,,,,,,,
,Student #,Final Grade Using Different Testing Methods,,Demographic Information,,,,,,
,,Assessment-Only Method,Traditional Method,Disability,Race,FRL,Gender,,,
,450,50.91,57.639,No,Black,Yes,Female,,,
,135,64.1,74.314,No,White,No,Female,,,
,280,56.28,48.706,No,Black,Yes,Female,,,
,20,60.31,66.877,No,White,No,Female,,,
,11,86.53,89.45,No,White,Yes,Female,,,
,,,,,,,,,,
,,,,,,,,,,
Trial 3,,,,,,,,,,
,Student #,Final Grade Using Different Testing Methods,,Demographic Information,,,,,,
,,Assessment-Only Method,Traditional Method,Disability,Race,FRL,Gender,,,
,755,72.61,65.578,No,Black,Yes,Male,,,
,704,70.8,56.08,No,Black,Yes,Male,,,
,6,57.6,58.564,No,White,Yes,Female,,,
,281,75.67,83.627,No,White,Yes,Female,,,
,682,85,84.018,No,White,Yes,Male,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
