Student #, Weighted Score, Disability, Race, FRL, Gender
Student 1: 70.445   No, White, Yes, Male, 
Student 2: 98.467   No, White, No, Male, 
Student 3: 69.145   No, Black, Yes, Female, 
Student 4: 64.913   No, Black, Yes, Female, 
Student 5: 61.743   No, White, Yes, Male, 
Student 6: 52.492   No, White, Yes, Female, 
Student 7: 75.881   No, Asian, No, Female, 
Student 8: 96.57   No, White, No, Male, 
Student 9: 48.084   No, Black, Yes, Male, 
Student 10: 99.451   No, White, No, Male, 
Student 11: 89.45   No, White, Yes, Female, 
Student 12: 68.176   No, White, Yes, Male, 
Student 13: 70.889   No, White, No, Female, 
Student 14: 71.191   No, White, No, Male, 
Student 15: 62.324   No, Black, Yes, Female, 
Student 16: 72.001   No, Black, Yes, Female, 
Student 17: 61.503   No, White, No, Female, 
Student 18: 85.193   No, White, Yes, Male, 
Student 19: 73.017   No, White, Yes, Male, 
Student 20: 66.877   No, White, No, Female, 
Student 21: 53.761   No, White, Yes, Male, 
Student 22: 57.717   Yes, White, Yes, Female, 
Student 23: 32.248   No, White, Yes, Female, 
Student 24: 81.721   No, Other, Yes, Female, 
Student 25: 57.591   No, White, No, Male, 
Student 26: 80.486   No, Hispanic, Yes, Male, 
Student 27: 67.719   Yes, White, No, Male, 
Student 28: 37.381   No, Black, Yes, Female, 
Student 29: 71.983   No, White, No, Male, 
Student 30: 80.249   No, White, Yes, Female, 
Student 31: 60.257   Yes, Hispanic, Yes, Female, 
Student 32: 10.691   Yes, Black, Yes, Female, 
Student 33: 63.03   No, Black, Yes, Male, 
Student 34: 86.01   No, Black, Yes, Female, 
Student 35: 87.128   No, Other, No, Female, 
Student 36: 92.681   No, White, No, Female, 
Student 37: 77.377   No, White, Yes, Male, 
Student 38: 38.769   Yes, Asian, Yes, Male, 
Student 39: 53.495   Yes, White, No, Female, 
Student 40: 88.385   No, White, Yes, Male, 
Student 41: 46.434   Yes, White, Yes, Male, 
Student 42: 57.45   No, Hispanic, Yes, Female, 
Student 43: 54.132   Yes, Black, Yes, Female, 
Student 44: 77.284   No, White, No, Female, 
Student 45: 65.141   No, Other, Yes, Male, 
Student 46: 62.065   No, Black, Yes, Female, 
Student 93: 90.017   No, White, Yes, Male, 
Student 94: 79.616   No, White, No, Female, 
Student 95: 65.301   No, Other, Yes, Male, 
Student 96: 77.226   No, Black, Yes, Male, 
Student 97: 57.407   No, White, No, Male, 
Student 98: 69.736   No, White, No, Female, 
Student 99: 65.232   No, Black, Yes, Female, 
Student 100: 52.259   No, White, Yes, Female, 
Student 101: 68.352   No, White, Yes, Male, 
Student 102: 77.666   No, White, No, Female, 
Student 103: 48.222   No, White, Yes, Female, 
Student 104: 69.056   No, White, No, Male, 
Student 105: 70.385   No, White, Yes, Female, 
Student 106: 75.139   No, White, No, Male, 
Student 107: 76.64   No, White, No, Female, 
Student 108: 51.295   No, Black, Yes, Female, 
Student 109: 65.702   No, White, Yes, Female, 
Student 110: 42.695   No, Hispanic, Yes, Female, 
Student 111: 86.979   No, White, Yes, Female, 
Student 112: 68.993   No, Black, Yes, Male, 
Student 113: 56.682   No, White, Yes, Female, 
Student 114: 88.904   No, Hispanic, Yes, Female, 
Student 115: 55.122   No, Black, Yes, Male, 
Student 116: 80.53   No, White, No, Female, 
Student 117: 62.175   No, Black, Yes, Male, 
Student 118: 59.756   No, Hispanic, No, Male, 
Student 119: 57.571   No, Black, No, Male, 
Student 120: 77.801   No, White, Yes, Female, 
Student 121: 62.834   No, White, Yes, Male, 
Student 122: 54.69   No, Hispanic, Yes, Female, 
Student 123: 75.708   No, Hispanic, Yes, Male, 
Student 124: 67.694   No, White, Yes, Male, 
Student 125: 56.806   No, Black, Yes, Female, 
Student 126: 70.369   No, Other, No, Female, 
Student 127: 84.156   No, White, Yes, Female, 
Student 128: 59.741   No, White, Yes, Female, 
Student 129: 58.278   No, White, Yes, Female, 
Student 130: 39.252   No, White, No, Female, 
Student 131: 64.702   No, Black, Yes, Female, 
Student 132: 78.916   No, Black, Yes, Female, 
Student 133: 70.51   No, Black, Yes, Male, 
Student 134: 61.475   No, White, No, Female, 
Student 135: 74.314   No, White, No, Female, 
Student 136: 84.143   Yes, White, No, Male, 
Student 137: 63.681   No, White, No, Female, 
Student 138: 61.03   No, White, Yes, Male, 
Student 139: 60   No, Black, No, Male, 
Student 140: 73.691   Yes, White, No, Female, 
Student 141: 70.802   No, White, Yes, Female, 
Student 142: 77.791   No, White, No, Female, 
Student 143: 86.219   No, White, No, Female, 
Student 144: 72.865   No, Asian, Yes, Female, 
Student 145: 61.581   No, White, Yes, Female, 
Student 146: 78.473   No, White, No, Female, 
Student 147: 43.803   No, White, Yes, Male, 
Student 148: 60.255   No, Hispanic, Yes, Female, 
Student 149: 35.358   No, White, Yes, Male, 
Student 150: 62.973   No, White, No, Male, 
Student 151: 80.238   No, Black, Yes, Female, 
Student 152: 80.234   No, White, No, Female, 
Student 153: 67.146   No, White, Yes, Female, 
Student 154: 78.737   No, White, Yes, Male, 
Student 155: 77.699   No, White, No, Male, 
Student 156: 58.327   No, Black, Yes, Male, 
Student 157: 67.336   No, Black, No, Male, 
Student 158: 95.892   No, White, No, Female, 
Student 159: 38.463   No, Hispanic, No, Female, 
Student 160: 71.161   No, White, No, Female, 
Student 161: 62.093   No, Other, Yes, Female, 
Student 162: 67.198   No, Hispanic, Yes, Female, 
Student 163: 70.33   No, Other, No, Female, 
Student 164: 74.384   No, White, No, Female, 
Student 165: 66.034   No, White, No, Male, 
Student 166: 89.973   No, Black, Yes, Female, 
Student 167: 70.483   No, Black, Yes, Female, 
Student 168: 74.426   No, Black, Yes, Female, 
Student 169: 59.717   No, Hispanic, Yes, Male, 
Student 170: 59.651   No, White, No, Male, 
Student 171: 74.657   No, Black, Yes, Male, 
Student 172: 83.667   No, Hispanic, Yes, Female, 
Student 173: 75.782   No, White, No, Female, 
Student 174: 40.017   No, Hispanic, No, Male, 
Student 175: 67.603   No, Other, No, Female, 
Student 176: 62.16   No, Hispanic, Yes, Male, 
Student 177: 73.974   No, White, Yes, Male, 
Student 178: 72.006   No, Other, No, Female, 
Student 179: 87.051   No, White, Yes, Female, 
Student 180: 46.449   No, White, No, Male, 
Student 181: 73.045   No, White, No, Female, 
Student 182: 70.561   No, White, No, Female, 
Student 183: 65.209   No, White, Yes, Male, 
Student 184: 65.176   No, Black, No, Male, 
Student 185: 98.024   No, White, No, Female, 
Student 186: 74.291   Yes, White, No, Female, 
Student 187: 79.655   No, White, Yes, Female, 
Student 188: 70.115   No, White, Yes, Female, 
Student 189: 67.882   No, White, No, Female, 
Student 190: 87.408   No, White, No, Female, 
Student 191: 61.842   No, Asian, Yes, Female, 
Student 192: 68.195   No, White, No, Female, 
Student 193: 43.495   No, Hispanic, Yes, Female, 
Student 194: 25.887   No, White, Yes, Female, 
Student 195: 59.66   No, Black, Yes, Female, 
Student 196: 72.526   No, Black, Yes, Female, 
Student 197: 66.533   No, White, No, Female, 
Student 198: 52.816   No, White, Yes, Male, 
