Appendix A - Charted Grades
Student, "Final Grade", "Final Percent", "Assessment Grade", "Assessments %", "Homework %", "Employability %", "Inflation or Deflation", Disability, Race, FRL, Gender
Student 1,C-,            70.44,          D+,                 68.53,            62.37,        100,              1.91,                     No,         White,Yes, Male
Student 2,A,98.47,A,97.81,100,100,0.66,No,White,No,Male
Student 3,D+,69.15,D-,59.96,91.52,88.69,9.19,No,Black,Yes,Female
Student 4,D,64.92,F,59.17,74.15,86.64,5.75,No,Black,Yes,Female
Student 5,D,61.75,F,53.4,77.96,87.71,8.35,No,White,Yes,Male
Student 6,F,52.49,F,57.6,30.5,60.72,-5.11,No,White,Yes,Female
Student 7,C,75.88,C+,76.92,67.79,84.79,-1.04,No,Asian,No,Female
Student 8,A,96.57,A,95.1,100,100,1.47,No,White,No,Male
Student 9,F,48.08,F,54.54,16.1,66.86,-6.46,No,Black,Yes,Male
Student 10,A,99.45,A,99.3,100,99.41,0.15,No,White,No,Male
Student 11,B+,89.45,B+,86.53,100,88.79,2.92,No,White,Yes,Female
Student 12,D+,68.18,D-,60.57,81.18,95.41,7.61,No,White,Yes,Male
Student 13,C-,70.89,D+,68.88,81.69,63.35,2.01,No,White,No,Female
Student 14,C-,71.19,D-,60.57,94.06,99.8,10.62,No,White,No,Male
Student 15,D,62.32,F,52.27,83.89,89.57,10.05,No,Black,Yes,Female
Student 16,C,72,D,65.03,88.3,88.2,6.97,No,Black,Yes,Female
Student 17,D,61.5,F,59.26,60,80.21,2.24,No,White,No,Female
Student 18,B,85.19,B-,80.24,95.42,99.41,4.95,No,White,Yes,Male
Student 19,C,73.01,B-,79.72,44.06,84.01,-6.71,No,White,Yes,Male
Student 20,D,66.88,D-,60.31,78.81,88.98,6.57,No,White,No,Female
Student 21,F,53.76,F,54.72,40.25,74.07,-0.96,No,White,Yes,Male
Student 22,F,57.22,F,53.84,55.93,88.43,3.38,Yes,White,Yes,Female
Student 23,F,31.75,F,24.12,47.96,57.72,7.63,No,White,Yes,Female
